symbol,confidence,contractions_count,base_length_days,volume_trend,breakout_detected,breakout_date,breakout_price,pullback_range_min,pullback_range_max,notes
MRK,1.0,3,48,stable,True,2025-10-01,90.13,3.5,10.0,3 contractions detected; Pullback range: 3.5% - 10.0%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
TMO,1.0,2,38,decreasing,True,2025-10-01,530.73,6.1,8.6,2 contractions detected; Pullback range: 6.1% - 8.6%; Volume trend: decreasing; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
MDT,1.0,3,61,stable,True,2025-09-19,95.08,3.1,6.0,3 contractions detected; Pullback range: 3.1% - 6.0%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
A,1.0,2,55,decreasing,True,2025-10-01,138.58,6.0,9.4,2 contractions detected; Pullback range: 6.0% - 9.4%; Volume trend: decreasing; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
IQV,1.0,3,55,decreasing,True,2025-10-01,203.79,4.6,14.7,3 contractions detected; Pullback range: 4.6% - 14.7%; Volume trend: decreasing; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
ILMN,1.0,3,51,stable,True,2025-09-19,102.75,5.9,16.9,3 contractions detected; Pullback range: 5.9% - 16.9%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
C,1.0,2,61,decreasing,True,2025-09-19,102.68,5.7,9.3,2 contractions detected; Pullback range: 5.7% - 9.3%; Volume trend: decreasing; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
BK,1.0,3,55,stable,True,2025-09-19,108.71,3.7,4.6,3 contractions detected; Pullback range: 3.7% - 4.6%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
COIN,0.95,2,62,decreasing,True,2025-10-01,346.17,15.6,34.0,2 contractions detected; Pullback range: 15.6% - 34.0%; Volume trend: decreasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.95
AAPL,0.9,2,46,stable,True,2025-09-19,245.5,4.8,6.6,2 contractions detected; Pullback range: 4.8% - 6.6%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
QCOM,0.9,2,57,stable,True,2025-09-19,166.85,4.2,11.9,2 contractions detected; Pullback range: 4.2% - 11.9%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
INTU,0.9,2,54,stable,True,2025-09-19,687.92,5.8,21.0,2 contractions detected; Pullback range: 5.8% - 21.0%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
CDNS,0.9,4,50,stable,True,2025-09-19,373.35,4.2,10.0,4 contractions detected; Pullback range: 4.2% - 10.0%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
ABBV,0.9,2,66,stable,True,2025-09-19,222.47,3.3,4.0,2 contractions detected; Pullback range: 3.3% - 4.0%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
ABT,0.9,2,45,stable,True,2025-09-19,136.04,4.7,4.8,2 contractions detected; Pullback range: 4.7% - 4.8%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
BIIB,0.9,3,43,increasing,True,2025-10-01,154.22,5.6,8.0,3 contractions detected; Pullback range: 5.6% - 8.0%; Volume trend: increasing; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
IDXX,0.9,2,46,stable,True,2025-09-19,656.16,4.6,9.4,2 contractions detected; Pullback range: 4.6% - 9.4%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
GS,0.9,2,55,stable,True,2025-09-19,805.0,5.8,5.9,2 contractions detected; Pullback range: 5.8% - 5.9%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
MS,0.9,2,54,stable,True,2025-09-19,159.91,5.4,5.9,2 contractions detected; Pullback range: 5.4% - 5.9%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
AXP,0.9,2,56,stable,True,2025-09-19,341.12,3.5,8.1,2 contractions detected; Pullback range: 3.5% - 8.1%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
COF,0.9,2,54,stable,True,2025-09-19,228.32,4.4,12.4,2 contractions detected; Pullback range: 4.4% - 12.4%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
USB,0.9,2,57,stable,True,2025-09-19,49.87,3.9,6.9,2 contractions detected; Pullback range: 3.9% - 6.9%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
HSY,0.9,3,48,stable,True,2025-09-22,192.34,3.8,12.6,3 contractions detected; Pullback range: 3.8% - 12.6%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
RL,0.9,2,37,stable,True,2025-09-19,311.51,6.8,10.9,2 contractions detected; Pullback range: 6.8% - 10.9%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
NEE,0.9,2,51,stable,True,2025-10-01,78.67,9.9,11.2,2 contractions detected; Pullback range: 9.9% - 11.2%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
CAT,0.9,2,54,stable,True,2025-09-19,466.54,6.2,8.1,2 contractions detected; Pullback range: 6.2% - 8.1%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
MMM,0.9,3,56,stable,True,2025-10-02,158.8,5.1,12.1,3 contractions detected; Pullback range: 5.1% - 12.1%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
ETN,0.9,3,56,stable,True,2025-09-19,374.5,4.9,11.7,3 contractions detected; Pullback range: 4.9% - 11.7%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
GD,0.9,3,50,stable,True,2025-09-26,330.34,2.2,5.1,3 contractions detected; Pullback range: 2.2% - 5.1%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
FOXA,0.9,2,34,stable,True,2025-09-19,60.62,4.8,8.5,2 contractions detected; Pullback range: 4.8% - 8.5%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
PLD,0.9,2,55,stable,True,2025-09-19,113.51,3.2,6.5,2 contractions detected; Pullback range: 3.2% - 6.5%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
DLR,0.9,2,59,stable,True,2025-09-19,172.08,6.6,10.7,2 contractions detected; Pullback range: 6.6% - 10.7%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
TSLA,0.8,2,37,stable,True,2025-09-19,426.07,9.9,11.9,2 contractions detected; Pullback range: 9.9% - 11.9%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
FTNT,0.8,2,65,increasing,True,2025-09-19,84.21,7.7,34.8,2 contractions detected; Pullback range: 7.7% - 34.8%; Volume trend: increasing; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.80
PANW,0.8,2,55,increasing,True,2025-09-19,208.19,4.8,21.5,2 contractions detected; Pullback range: 4.8% - 21.5%; Volume trend: increasing; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.80
UNH,0.8,2,37,decreasing,False,,,7.0,7.6,2 contractions detected; Pullback range: 7.0% - 7.6%; Volume trend: decreasing; Price near recent highs; Confidence: 0.80
JNJ,0.8,2,43,stable,True,2025-09-29,181.62,2.9,3.4,2 contractions detected; Pullback range: 2.9% - 3.4%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
PFE,0.8,2,60,stable,True,2025-10-01,27.21,8.0,9.3,2 contractions detected; Pullback range: 8.0% - 9.3%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.80
PNC,0.8,2,63,decreasing,False,,,4.8,7.6,2 contractions detected; Pullback range: 4.8% - 7.6%; Volume trend: decreasing; Price near recent highs; Confidence: 0.80
TRV,0.8,2,56,stable,True,2025-09-30,279.22,3.7,5.2,2 contractions detected; Pullback range: 3.7% - 5.2%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
CB,0.8,2,51,stable,True,2025-09-30,282.25,3.9,5.5,2 contractions detected; Pullback range: 3.9% - 5.5%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
GIS,0.8,4,63,stable,True,2025-09-24,51.11,3.1,6.0,4 contractions detected; Pullback range: 3.1% - 6.0%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
MDLZ,0.8,2,64,stable,True,2025-09-24,63.88,7.4,15.3,2 contractions detected; Pullback range: 7.4% - 15.3%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
COP,0.8,2,35,stable,True,2025-09-25,96.81,3.4,7.0,2 contractions detected; Pullback range: 3.4% - 7.0%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
PSX,0.8,2,42,stable,True,2025-09-24,136.59,3.5,8.1,2 contractions detected; Pullback range: 3.5% - 8.1%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
DUK,0.8,4,65,stable,True,2025-09-23,123.1,2.6,4.9,4 contractions detected; Pullback range: 2.6% - 4.9%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
LHX,0.8,2,29,stable,True,2025-09-19,283.94,4.7,6.1,2 contractions detected; Pullback range: 4.7% - 6.1%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
O,0.8,2,53,stable,True,2025-09-24,59.71,3.8,4.1,2 contractions detected; Pullback range: 3.8% - 4.1%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
APD,0.8,2,51,decreasing,False,,,5.8,7.4,2 contractions detected; Pullback range: 5.8% - 7.4%; Volume trend: decreasing; Price near recent highs; Confidence: 0.80
DD,0.8,2,61,increasing,True,2025-09-19,78.1,8.5,11.7,2 contractions detected; Pullback range: 8.5% - 11.7%; Volume trend: increasing; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.80
BMY,0.75,3,49,stable,False,,,5.5,12.8,3 contractions detected; Pullback range: 5.5% - 12.8%; Volume trend: stable; Price near recent highs; Confidence: 0.75
ISRG,0.75,3,63,stable,False,,,9.1,12.5,3 contractions detected; Pullback range: 9.1% - 12.5%; Volume trend: stable; Price near recent highs; Confidence: 0.75
PG,0.75,3,55,stable,False,,,2.9,5.7,3 contractions detected; Pullback range: 2.9% - 5.7%; Volume trend: stable; Price near recent highs; Confidence: 0.75
SBUX,0.75,3,55,stable,False,,,9.2,13.6,3 contractions detected; Pullback range: 9.2% - 13.6%; Volume trend: stable; Price near recent highs; Confidence: 0.75
ITW,0.75,4,55,stable,False,,,2.8,5.4,4 contractions detected; Pullback range: 2.8% - 5.4%; Volume trend: stable; Price near recent highs; Confidence: 0.75
LIN,0.75,3,63,stable,False,,,2.8,5.7,3 contractions detected; Pullback range: 2.8% - 5.7%; Volume trend: stable; Price near recent highs; Confidence: 0.75
ZM,0.75,3,56,stable,False,,,4.6,9.7,3 contractions detected; Pullback range: 4.6% - 9.7%; Volume trend: stable; Price near recent highs; Confidence: 0.75
ADBE,0.7,2,51,increasing,True,2025-09-19,365.9,9.1,12.3,2 contractions detected; Pullback range: 9.1% - 12.3%; Volume trend: increasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.70
MU,0.7,2,50,stable,True,2025-09-19,162.73,10.0,11.8,2 contractions detected; Pullback range: 10.0% - 11.8%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.70
