symbol,confidence,contractions_count,base_length_days,volume_trend,breakout_detected,breakout_date,breakout_price,pullback_range_min,pullback_range_max,notes
AMD,1.0,3,54,decreasing,True,2026-01-13,220.97,5.0,26.3,3 contractions detected; Pullback range: 5.0% - 26.3%; Volume trend: decreasing; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
GILD,1.0,2,49,decreasing,True,2026-01-21,129.11,7.7,8.3,2 contractions detected; Pullback range: 7.7% - 8.3%; Volume trend: decreasing; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
DXCM,1.0,2,60,decreasing,True,2026-01-12,70.98,6.0,6.6,2 contractions detected; Pullback range: 6.0% - 6.6%; Volume trend: decreasing; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
BLK,1.0,3,54,stable,True,2026-01-15,1156.65,2.3,9.8,3 contractions detected; Pullback range: 2.3% - 9.8%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
CME,1.0,3,47,stable,True,2026-01-16,279.5,4.1,6.3,3 contractions detected; Pullback range: 4.1% - 6.3%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
EL,1.0,3,62,stable,True,2026-01-09,113.73,6.0,8.8,3 contractions detected; Pullback range: 6.0% - 8.8%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
CMCSA,1.0,3,60,stable,True,2026-01-12,28.72,5.5,6.6,3 contractions detected; Pullback range: 5.5% - 6.6%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
SHW,1.0,3,62,stable,True,2026-01-09,353.28,4.7,8.4,3 contractions detected; Pullback range: 4.7% - 8.4%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
REGN,0.95,2,44,decreasing,True,2026-01-09,796.55,5.0,12.5,2 contractions detected; Pullback range: 5.0% - 12.5%; Volume trend: decreasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.95
ISRG,0.95,4,56,decreasing,True,2026-01-09,586.24,3.6,7.2,4 contractions detected; Pullback range: 3.6% - 7.2%; Volume trend: decreasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.95
WFC,0.95,2,54,decreasing,True,2026-01-09,95.95,3.2,8.6,2 contractions detected; Pullback range: 3.2% - 8.6%; Volume trend: decreasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.95
TXN,0.9,3,54,stable,True,2026-01-09,190.31,3.6,7.7,3 contractions detected; Pullback range: 3.6% - 7.7%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
IBM,0.9,3,62,stable,True,2026-01-12,312.18,6.2,11.3,3 contractions detected; Pullback range: 6.2% - 11.3%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
UNH,0.9,3,55,stable,True,2026-01-21,347.75,5.8,11.3,3 contractions detected; Pullback range: 5.8% - 11.3%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
